directory,category,direct_files,direct_bytes,direct_tracked,protected_files,disposition
lib/core/cache,product-or-platform,3,15987,3,0,retain; refactor by domain after tests
lib/core/config,product-or-platform,2,562,2,0,retain; refactor by domain after tests
lib/core/di,product-or-platform,1,1303,1,0,retain; refactor by domain after tests
lib/core/errors,product-or-platform,1,2179,1,0,retain; refactor by domain after tests
lib/core/memory,product-or-platform,6,78017,6,0,retain; refactor by domain after tests
lib/core/models,product-or-platform,3,19222,3,0,retain; refactor by domain after tests
lib/core/navigation,product-or-platform,2,9852,2,0,retain; refactor by domain after tests
lib/core/notifications,product-or-platform,7,107764,7,0,retain; refactor by domain after tests
lib/core/offline,product-or-platform,8,83177,8,0,retain; refactor by domain after tests
lib/core/providers,product-or-platform,4,61110,4,0,retain; refactor by domain after tests
lib/core/router,product-or-platform,1,744,1,0,retain; refactor by domain after tests
lib/core/security,product-or-platform,1,2042,1,0,retain; refactor by domain after tests
lib/core/services,product-or-platform,10,72133,10,0,retain; refactor by domain after tests
lib/core/storage,product-or-platform,1,2933,1,0,retain; refactor by domain after tests
lib/core/telemetry,product-or-platform,2,4595,2,0,retain; refactor by domain after tests
lib/core/theme,product-or-platform,3,67642,3,0,retain; refactor by domain after tests
lib/core/utils,product-or-platform,11,39773,11,0,retain; refactor by domain after tests
lib/core/widgets,product-or-platform,22,165113,22,0,retain; refactor by domain after tests
lib/features,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/analytics,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/analytics/data,product-or-platform,1,1379,1,0,retain; refactor by domain after tests
lib/features/auth,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/auth/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/auth/presentation/pages,product-or-platform,1,26336,1,0,retain; refactor by domain after tests
lib/features/auth/presentation/widgets,product-or-platform,1,11234,1,0,retain; refactor by domain after tests
lib/features/authentication,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/authentication/domain,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/authentication/domain/entities,product-or-platform,1,722,1,0,retain; refactor by domain after tests
lib/features/bolsa,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/bolsa/data,product-or-platform,2,18511,2,0,retain; refactor by domain after tests
lib/features/bolsa/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/bolsa/presentation/pages,product-or-platform,1,52817,1,0,retain; refactor by domain after tests
lib/features/bolsa/presentation/widgets,product-or-platform,1,9221,1,0,retain; refactor by domain after tests
lib/features/bolsa/providers,product-or-platform,1,10556,1,0,retain; refactor by domain after tests
lib/features/chatbot,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/chatbot/data,product-or-platform,3,18860,3,0,retain; refactor by domain after tests
lib/features/chatbot/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/chatbot/presentation/pages,product-or-platform,1,67645,1,0,retain; refactor by domain after tests
lib/features/chatbot/presentation/widgets,product-or-platform,6,66858,6,0,retain; refactor by domain after tests
lib/features/chatbot/providers,product-or-platform,2,17089,2,0,retain; refactor by domain after tests
lib/features/clients,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/clients/data,product-or-platform,1,5926,1,0,retain; refactor by domain after tests
lib/features/clients/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/clients/presentation/pages,product-or-platform,2,89777,2,0,retain; refactor by domain after tests
lib/features/clients/presentation/widgets,product-or-platform,1,11327,1,0,retain; refactor by domain after tests
lib/features/cobros,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/cobros/data,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/cobros/data/models,product-or-platform,1,16994,1,0,retain; refactor by domain after tests
lib/features/cobros/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/cobros/presentation/pages,product-or-platform,2,86905,2,0,retain; refactor by domain after tests
lib/features/cobros/presentation/widgets,product-or-platform,4,49445,4,0,retain; refactor by domain after tests
lib/features/cobros/providers,product-or-platform,1,26467,1,0,retain; refactor by domain after tests
lib/features/commissions,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/commissions/data,product-or-platform,3,13769,3,0,retain; refactor by domain after tests
lib/features/commissions/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/commissions/presentation/pages,product-or-platform,1,170301,1,0,retain; refactor by domain after tests
lib/features/commissions/presentation/widgets,product-or-platform,1,21992,1,0,retain; refactor by domain after tests
lib/features/dashboard,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/dashboard/domain,product-or-platform,1,1384,1,0,retain; refactor by domain after tests
lib/features/dashboard/domain/entities,product-or-platform,1,3942,1,0,retain; refactor by domain after tests
lib/features/dashboard/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/dashboard/presentation/pages,product-or-platform,2,177361,2,0,retain; refactor by domain after tests
lib/features/dashboard/presentation/widgets,product-or-platform,16,122915,16,0,retain; refactor by domain after tests
lib/features/entregas,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/entregas/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/entregas/presentation/pages,product-or-platform,1,39712,1,0,retain; refactor by domain after tests
lib/features/entregas/presentation/widgets,product-or-platform,3,26233,3,0,retain; refactor by domain after tests
lib/features/entregas/providers,product-or-platform,1,49590,1,0,retain; refactor by domain after tests
lib/features/facturas,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/facturas/data,product-or-platform,1,28102,1,0,retain; refactor by domain after tests
lib/features/facturas/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/facturas/presentation/pages,product-or-platform,1,67709,1,0,retain; refactor by domain after tests
lib/features/kpi_alerts,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/kpi_alerts/data,product-or-platform,1,9211,1,0,retain; refactor by domain after tests
lib/features/kpi_alerts/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/kpi_alerts/presentation/pages,product-or-platform,1,25559,1,0,retain; refactor by domain after tests
lib/features/kpi_alerts/presentation/widgets,product-or-platform,1,34752,1,0,retain; refactor by domain after tests
lib/features/liquidacion_comercial,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/liquidacion_comercial/data,product-or-platform,1,8622,1,0,retain; refactor by domain after tests
lib/features/liquidacion_comercial/domain,product-or-platform,1,5784,1,0,retain; refactor by domain after tests
lib/features/liquidacion_comercial/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/liquidacion_comercial/presentation/pages,product-or-platform,1,56983,1,0,retain; refactor by domain after tests
lib/features/objectives,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/objectives/data,product-or-platform,1,3325,1,0,retain; refactor by domain after tests
lib/features/objectives/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/objectives/presentation/pages,product-or-platform,3,313161,3,0,retain; refactor by domain after tests
lib/features/pedidos,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/pedidos/data,product-or-platform,4,113604,4,0,retain; refactor by domain after tests
lib/features/pedidos/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/pedidos/presentation/dialogs,product-or-platform,3,18213,3,0,retain; refactor by domain after tests
lib/features/pedidos/presentation/pages,product-or-platform,3,160101,3,0,retain; refactor by domain after tests
lib/features/pedidos/presentation/utils,product-or-platform,1,1171,1,0,retain; refactor by domain after tests
lib/features/pedidos/presentation/widgets,product-or-platform,29,638285,29,0,retain; refactor by domain after tests
lib/features/pedidos/providers,product-or-platform,1,73170,1,0,retain; refactor by domain after tests
lib/features/products_history,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/products_history/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/products_history/presentation/pages,product-or-platform,1,34961,1,0,retain; refactor by domain after tests
lib/features/products_history/presentation/widgets,product-or-platform,1,39927,1,0,retain; refactor by domain after tests
lib/features/real_dashboard,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/real_dashboard/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/real_dashboard/presentation/pages,product-or-platform,1,448,1,0,retain; refactor by domain after tests
lib/features/repartidor,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/repartidor/application,product-or-platform,1,17769,1,0,retain; refactor by domain after tests
lib/features/repartidor/data,product-or-platform,13,219624,13,0,retain; refactor by domain after tests
lib/features/repartidor/domain,product-or-platform,4,30972,4,0,retain; refactor by domain after tests
lib/features/repartidor/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/repartidor/presentation/pages,product-or-platform,4,258070,4,0,retain; refactor by domain after tests
lib/features/repartidor/presentation/widgets,product-or-platform,26,483432,26,0,retain; refactor by domain after tests
lib/features/repartidor_finanzas,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/repartidor_finanzas/data,product-or-platform,3,70603,3,0,retain; refactor by domain after tests
lib/features/repartidor_finanzas/data/repositories,product-or-platform,1,2759,1,0,retain; refactor by domain after tests
lib/features/repartidor_finanzas/domain,product-or-platform,1,69971,1,0,retain; refactor by domain after tests
lib/features/repartidor_finanzas/domain/repositories,product-or-platform,1,651,1,0,retain; refactor by domain after tests
lib/features/repartidor_finanzas/domain/usecases,product-or-platform,2,1663,2,0,retain; refactor by domain after tests
lib/features/repartidor_finanzas/presentation,product-or-platform,2,4283,2,0,retain; refactor by domain after tests
lib/features/repartidor_finanzas/presentation/pages,product-or-platform,4,169728,4,0,retain; refactor by domain after tests
lib/features/repartidor_finanzas/presentation/providers,product-or-platform,1,29341,1,0,retain; refactor by domain after tests
lib/features/repartidor_finanzas/presentation/widgets,product-or-platform,2,40425,2,0,retain; refactor by domain after tests
lib/features/rutero,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/rutero/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/rutero/presentation/pages,product-or-platform,2,102319,2,0,retain; refactor by domain after tests
lib/features/rutero/presentation/widgets,product-or-platform,6,82180,6,0,retain; refactor by domain after tests
lib/features/sales_history,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/sales_history/data,product-or-platform,1,3936,1,0,retain; refactor by domain after tests
lib/features/sales_history/domain,product-or-platform,1,2487,1,0,retain; refactor by domain after tests
lib/features/sales_history/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/sales_history/presentation/pages,product-or-platform,1,29242,1,0,retain; refactor by domain after tests
lib/features/sales_history/presentation/widgets,product-or-platform,1,34996,1,0,retain; refactor by domain after tests
lib/features/sales_history/providers,product-or-platform,1,6218,1,0,retain; refactor by domain after tests
lib/features/settings,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/settings/presentation,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/settings/presentation/pages,product-or-platform,2,37026,2,0,retain; refactor by domain after tests
lib/features/warehouse,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/warehouse/application,product-or-platform,2,48390,2,0,retain; refactor by domain after tests
lib/features/warehouse/data,product-or-platform,1,34074,1,0,retain; refactor by domain after tests
lib/features/warehouse/domain,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/features/warehouse/domain/models,product-or-platform,1,13272,1,0,retain; refactor by domain after tests
lib/features/warehouse/presentation,product-or-platform,1,3809,1,0,retain; refactor by domain after tests
lib/features/warehouse/presentation/pages,product-or-platform,8,242344,8,0,retain; refactor by domain after tests
lib/features/warehouse/presentation/painters,product-or-platform,4,106310,4,0,retain; refactor by domain after tests
lib/features/warehouse/presentation/widgets,product-or-platform,7,130958,7,0,retain; refactor by domain after tests
linux,product-or-platform,2,4920,2,0,retain; refactor by domain after tests
linux/flutter,product-or-platform,4,5608,4,0,retain; refactor by domain after tests
linux/runner,product-or-platform,4,7102,4,0,retain; refactor by domain after tests
macos,product-or-platform,1,96,1,0,retain; refactor by domain after tests
macos/Flutter,product-or-platform,3,2070,3,0,retain; refactor by domain after tests
macos/Runner,product-or-platform,5,2427,5,0,retain; refactor by domain after tests
macos/Runner/Assets.xcassets,product-or-platform,0,0,0,0,retain; refactor by domain after tests
macos/Runner/Assets.xcassets/AppIcon.appiconset,product-or-platform,8,164385,8,0,retain; refactor by domain after tests
macos/Runner/Base.lproj,product-or-platform,1,24072,1,0,retain; refactor by domain after tests
macos/Runner/Configs,product-or-platform,4,1386,4,0,retain; refactor by domain after tests
macos/Runner.xcodeproj,product-or-platform,1,27175,1,0,retain; refactor by domain after tests
macos/Runner.xcodeproj/project.xcworkspace,product-or-platform,0,0,0,0,retain; refactor by domain after tests
macos/Runner.xcodeproj/project.xcworkspace/xcshareddata,product-or-platform,1,246,1,0,retain; refactor by domain after tests
macos/Runner.xcodeproj/xcshareddata,product-or-platform,0,0,0,0,retain; refactor by domain after tests
macos/Runner.xcodeproj/xcshareddata/xcschemes,product-or-platform,1,3826,1,0,retain; refactor by domain after tests
macos/Runner.xcworkspace,product-or-platform,1,159,1,0,retain; refactor by domain after tests
macos/Runner.xcworkspace/xcshareddata,product-or-platform,1,246,1,0,retain; refactor by domain after tests
macos/RunnerTests,product-or-platform,1,302,1,0,retain; refactor by domain after tests
memory-bank,documentation,6,5091,2,0,classify current versus historical; preserve evidence
observability,tooling-or-operations,5,6024,5,0,classify read-only/test/admin; guard mutative scripts
observability/grafana,tooling-or-operations,0,0,0,0,classify read-only/test/admin; guard mutative scripts
observability/grafana/dashboards,tooling-or-operations,1,5415,1,0,classify read-only/test/admin; guard mutative scripts
observability/grafana/provisioning,tooling-or-operations,0,0,0,0,classify read-only/test/admin; guard mutative scripts
observability/grafana/provisioning/dashboards,tooling-or-operations,1,230,1,0,classify read-only/test/admin; guard mutative scripts
observability/grafana/provisioning/datasources,tooling-or-operations,1,475,1,0,classify read-only/test/admin; guard mutative scripts
scripts,tooling-or-operations,12,82232,12,0,classify read-only/test/admin; guard mutative scripts
scripts/load,tooling-or-operations,1,1020,1,0,classify read-only/test/admin; guard mutative scripts
scripts/opencode-governance,tooling-or-operations,5,28360,5,0,classify read-only/test/admin; guard mutative scripts
scripts/security,tooling-or-operations,1,1320,1,0,classify read-only/test/admin; guard mutative scripts
scripts/sweep,tooling-or-operations,2,7804,2,0,classify read-only/test/admin; guard mutative scripts
scripts/theme,tooling-or-operations,3,16977,3,0,classify read-only/test/admin; guard mutative scripts
skills,configuration-or-agent,0,0,0,0,review source versus generated and local; no bulk add
skills/caveman,configuration-or-agent,1,3719,1,0,review source versus generated and local; no bulk add
skills/caveman-commit,configuration-or-agent,1,2545,1,0,review source versus generated and local; no bulk add
skills/caveman-compress,configuration-or-agent,3,11571,3,0,review source versus generated and local; no bulk add
skills/caveman-compress/scripts,configuration-or-agent,7,21200,7,0,review source versus generated and local; no bulk add
skills/caveman-help,configuration-or-agent,1,2104,1,0,review source versus generated and local; no bulk add
skills/caveman-review,configuration-or-agent,1,2793,1,0,review source versus generated and local; no bulk add
test,test,2,6665,2,0,retain; classify test level
test/api,test,3,21602,3,0,retain; classify test level
test/core,test,4,17075,4,0,retain; classify test level
test/core/api,test,2,5614,2,0,retain; classify test level
test/core/cache,test,1,536,1,0,retain; classify test level
test/core/memory,test,2,17433,2,0,retain; classify test level
test/core/notifications,test,2,8181,2,0,retain; classify test level
test/core/offline,test,2,10182,2,0,retain; classify test level
test/core/security,test,1,2777,1,0,retain; classify test level
test/core/services,test,1,4828,1,0,retain; classify test level
test/core/telemetry,test,1,1079,1,0,retain; classify test level
test/core/utils,test,3,8688,3,0,retain; classify test level
test/core/widgets,test,1,5806,1,0,retain; classify test level
test/features,test,1,3960,1,0,retain; classify test level
test/features/bolsa,test,1,5738,1,0,retain; classify test level
test/features/chatbot,test,4,17442,4,0,retain; classify test level
test/features/cobros,test,1,15662,1,0,retain; classify test level
test/features/commissions,test,1,1155,1,0,retain; classify test level
test/features/commissions/presentation,test,1,3095,1,0,retain; classify test level
test/features/dashboard,test,1,4668,1,0,retain; classify test level
test/features/dashboard/domain,test,1,2461,1,0,retain; classify test level
test/features/facturas,test,1,2983,1,0,retain; classify test level
test/features/liquidacion_comercial,test,0,0,0,0,retain; classify test level
test/features/liquidacion_comercial/data,test,1,2970,1,0,retain; classify test level
test/features/liquidacion_comercial/domain,test,1,3844,1,0,retain; classify test level
test/features/liquidacion_comercial/presentation,test,1,11981,1,0,retain; classify test level
test/features/pedidos,test,1,38540,1,0,retain; classify test level
test/features/pedidos/presentation,test,0,0,0,0,retain; classify test level
test/features/pedidos/presentation/widgets,test,1,4497,1,0,retain; classify test level
test/features/repartidor,test,4,28749,4,0,retain; classify test level
test/features/repartidor/data,test,10,81561,10,0,retain; classify test level
test/features/repartidor/domain,test,2,8286,2,0,retain; classify test level
test/features/repartidor/presentation,test,5,19412,5,0,retain; classify test level
test/features/repartidor_finanzas,test,5,21450,5,0,retain; classify test level
test/features/repartidor_finanzas/presentation,test,1,3689,1,0,retain; classify test level
test/features/sales_history,test,1,8893,1,0,retain; classify test level
test/goldens,test,1,2679,1,0,retain; classify test level
test/goldens/goldens,test,4,14988,4,0,retain; classify test level
test/helpers,test,3,5956,3,0,retain; classify test level
test/integration,test,2,10175,2,0,retain; classify test level
test/models,test,3,21360,3,0,retain; classify test level
test/providers,test,3,6410,3,0,retain; classify test level
test/services,test,2,7338,2,0,retain; classify test level
test/theme,test,3,8064,3,0,retain; classify test level
test/utils,test,2,5118,2,0,retain; classify test level
test/warehouse,test,2,24769,2,0,retain; classify test level
test/widget,test,3,37106,3,0,retain; classify test level
test/widgets,test,25,143880,24,0,retain; classify test level
tool,tooling-or-operations,0,0,0,0,classify read-only/test/admin; guard mutative scripts
tool/gmp_custom_lints,tooling-or-operations,1,231,1,0,classify read-only/test/admin; guard mutative scripts
tool/gmp_custom_lints/lib,tooling-or-operations,1,1351,1,0,classify read-only/test/admin; guard mutative scripts
web,product-or-platform,4,6221,4,0,retain; refactor by domain after tests
web/icons,product-or-platform,4,40136,4,0,retain; refactor by domain after tests
windows,product-or-platform,2,4586,2,0,retain; refactor by domain after tests
windows/flutter,product-or-platform,4,7006,4,0,retain; refactor by domain after tests
windows/runner,product-or-platform,11,25552,11,0,retain; refactor by domain after tests
windows/runner/resources,product-or-platform,1,33772,1,0,retain; refactor by domain after tests
